bookSlug,title,authors,gutenbergId,currentStatus,processingAllowed,missingFields,nextAction,ownerReviewed,approvedForWebsite,approvedForYoutubeNarration,approvedRegions,originalPublicationYear,editionNotes,translationNotes,excludeModernAdditions,notes
a-childs-garden-of-verses,A Child's Garden of Verses,Robert Louis Stevenson,25609,reject,false,approved author death year; editor identity/death-year review; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Reject or remove modern/permission-based text.,false,false,false,US; CA,,,,true,
a-christmas-carol,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,46,needs_manual_review,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
a-princess-of-mars,A princess of Mars,Edgar Rice Burroughs,62,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
alices-adventures-in-wonderland,Alice's Adventures in Wonderland,Lewis Carroll,11,needs_manual_review,false,approved author death year; owner-reviewed website approval; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
anna-karenina,Anna Karenina,graf Leo Tolstoy,1399,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
anne-of-green-gables,Anne of Green Gables,L. M. Montgomery,45,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
anne-of-green-gables-gutenberg-45,Anne of Green Gables,L. M. Montgomery,45,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
around-the-world-in-eighty-days,Around the World in Eighty Days,Jules Verne,103,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
black-beauty,Black Beauty The autobiography of a horse,Anna Sewell,271,needs_manual_review,false,manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add original publication metadata.,false,false,false,US; CA,,,,true,
botchan,Botchan (Master Darling),Soseki Natsume,8868,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
candide,Candide,Voltaire,19942,needs_manual_review,false,approved author death year; introduction author identity/death-year review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
crime-and-punishment,Crime and Punishment,Fyodor Dostoyevsky,2554,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
doctor-dolittle,The Story of Doctor Dolittle,Hugh Lofting,501,reject,false,manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Reject or remove modern/permission-based text.,false,false,false,US; CA,,,,true,
don-quixote,Don Quixote,Miguel de Cervantes Saavedra,996,needs_manual_review,false,approved author death year; approved translator death year; editor identity/death-year review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
dr-jekyll-and-mr-hyde,The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,43,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
dracula,Dracula,Bram Stoker,345,reject,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Reject or remove modern/permission-based text.,false,false,false,US; CA,,,,true,
five-little-peppers-and-how-they-grew,Five Little Peppers and How They Grew,Margaret Sidney,2770,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
frankenstein,"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,84,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
grimm-s-fairy-tales,Grimm's Fairy Tales,Jacob Grimm Wilhelm Grimm,52521,needs_manual_review,false,approved author death year; approved translator death year; editor identity/death-year review; illustrator handling review; introduction author identity/death-year review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
